Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
GMB,2019,UIS.E.2,104526
GMB,2018,UIS.E.2,98108
GMB,2017,UIS.E.2,94357
GMB,2016,UIS.E.2,90838
GMB,2015,UIS.E.2,90176
GMB,2014,UIS.E.2,87391
GMB,2013,UIS.E.2,84825
GMB,2012,UIS.E.2,80742
GMB,2011,UIS.E.2,77408
GMB,2010,UIS.E.2,75398
GMB,2009,UIS.E.2,73855
GMB,2008,UIS.E.2,67432
GMB,2007,UIS.E.2,68336
GMB,2006,UIS.E.2,67937
GMB,2005,UIS.E.2,66026
GMB,2004,UIS.E.2,63139
GMB,2003,UIS.E.2,55559
GMB,2002,UIS.E.2,42569
GMB,2001,UIS.E.2,41493
GMB,2000,UIS.E.2,38418
GMB,1999,UIS.E.2,34688
GMB,1998,UIS.E.2,23242
GMB,2010,UIS.E.3,48999
GMB,2009,UIS.E.3,49167
GMB,2008,UIS.E.3,49492
GMB,2019,UIS.R.1,23319
GMB,2016,UIS.R.1,16038
GMB,2015,UIS.R.1,15543
GMB,2014,UIS.R.1,10203
GMB,2013,UIS.R.1,8758
GMB,2012,UIS.R.1,6403
GMB,2011,UIS.R.1,6506
GMB,2010,UIS.R.1,6869
GMB,2008,UIS.R.1,11979
GMB,2007,UIS.R.1,12557
GMB,2006,UIS.R.1,11151
GMB,2005,UIS.R.1,13129
GMB,2004,UIS.R.1,10625
GMB,2003,UIS.R.1,11303
GMB,2002,UIS.R.1,15675
GMB,2001,UIS.R.1,15648
GMB,2000,UIS.R.1,14896
GMB,1999,UIS.R.1,15622
GMB,1997,UIS.R.1,17468
GMB,1996,UIS.R.1,15824
GMB,1995,UIS.R.1,15105
GMB,1994,UIS.R.1,14087
GMB,1993,UIS.R.1,13932
GMB,1992,UIS.R.1,14499
GMB,1989,UIS.R.1,13116
GMB,1987,UIS.R.1,12053
GMB,1986,UIS.R.1,11976
GMB,1985,UIS.R.1,9036
GMB,1984,UIS.R.1,8040
GMB,1983,UIS.R.1,7216
GMB,1982,UIS.R.1,6287
GMB,1981,UIS.R.1,5817
GMB,1980,UIS.R.1,5111
GMB,1979,UIS.R.1,5125
GMB,1978,UIS.R.1,5089
GMB,1977,UIS.R.1,6099
GMB,1976,UIS.R.1,2568
GMB,1975,UIS.R.1,2393
GMB,1974,UIS.R.1,2643
GMB,1973,UIS.R.1,2560
GMB,1972,UIS.R.1,2086
GMB,1971,UIS.R.1,2310
